restaurant_id,restaurant_name,city,area,cuisine_type,tier,avg_rating,partner_since
R0001,Chittagong Restaurant,Chittagong,Agrabad,Indian,Standard,3.7,2022-08-05
R0002,Royal Restaurant,Dhaka,Bashundhara,Bangladeshi,Standard,3.3,2022-12-28
R0003,Hot Corner,Dhaka,Uttara,Chinese,Standard,3.9,2022-12-09
R0004,Padma Dhaba,Chittagong,GEC Circle,Chinese,Standard,4.7,2022-08-30
R0005,Sultan's Hut,Chittagong,Agrabad,Bangladeshi,Standard,4.2,2023-06-19
R0006,Hot Dhaba,Dhaka,Shantinagar,Biryani & Kebab,Standard,3.5,2023-07-16
R0007,Bengal House,Chittagong,Agrabad,Chinese,Budget,3.2,2022-12-28
R0008,Dhaka Cafe,Sylhet,Subid Bazar,Biryani & Kebab,Standard,4.3,2023-02-19
R0009,Haji Palace,Chittagong,Agrabad,Fast Food,Premium,3.6,2023-01-16
R0010,Padma Diner,Chittagong,Panchlaish,Bangladeshi,Standard,4.7,2022-03-28
R0011,Crispy Biryani,Dhaka,Mohammadpur,Biryani & Kebab,Standard,3.3,2023-05-04
R0012,Chittagong Biryani,Chittagong,GEC Circle,Bangladeshi,Standard,4.0,2024-05-22
R0013,Jamuna Hut,Chittagong,Khulshi,Burger,Budget,3.8,2022-12-07
R0014,Haji Hotel,Chittagong,Chawkbazar,Bangladeshi,Standard,4.3,2023-10-18
R0015,Spicy Dhaba,Dhaka,Tejgaon,Coffee & Bakery,Budget,4.1,2024-05-09
R0016,Padma House,Chittagong,Panchlaish,Indian,Standard,4.0,2023-04-01
R0017,Sylheti Palace,Dhaka,Wari,Burger,Standard,4.4,2022-10-05
R0018,Nawabi Hut,Sylhet,Uposhohor,Fast Food,Standard,4.3,2022-09-08
R0019,Fresh Hut,Chittagong,Panchlaish,Burger,Premium,5.0,2024-01-30
R0020,Chittagong Garden,Sylhet,Amberkhana,Bangladeshi,Premium,4.1,2022-05-03
R0021,Hot Hotel,Dhaka,Gulshan,Desserts,Premium,4.0,2022-07-15
R0022,Dhaka Palace,Dhaka,Farmgate,Fast Food,Standard,4.1,2022-11-09
R0023,Silver Palace,Dhaka,Khilgaon,Chinese,Premium,4.5,2023-12-03
R0024,Kacchi House,Dhaka,Uttara,Fast Food,Standard,4.3,2022-04-02
R0025,Chittagong Dhaba,Rajshahi,Boalia,Bangladeshi,Standard,4.6,2024-01-25
R0026,Tasty Hotel,Dhaka,Old Dhaka,Bangladeshi,Premium,5.0,2023-09-25
R0027,Golden Express,Dhaka,Bashundhara,Biryani & Kebab,Standard,4.2,2022-03-26
R0028,Sultan's Restaurant,Dhaka,Mohammadpur,Pizza,Premium,4.4,2022-10-25
R0029,Silver Restaurant,Dhaka,Bashundhara,Bangladeshi,Standard,4.3,2022-04-28
R0030,Royal Hotel,Dhaka,Motijheel,Pizza,Premium,4.1,2023-01-03
R0031,Star Kitchen,Dhaka,Uttara,Pizza,Premium,3.8,2023-08-12
R0032,Hot Cafe,Chittagong,Nasirabad,Biryani & Kebab,Premium,4.9,2024-01-27
R0033,Hot Bhai,Dhaka,Dhanmondi,Fast Food,Premium,4.0,2023-05-03
R0034,Spicy House,Sylhet,Subid Bazar,Bangladeshi,Premium,4.2,2022-10-16
R0035,Sultan's Garden,Dhaka,Farmgate,Bangladeshi,Standard,4.1,2023-01-18
R0036,Sylheti Restaurant,Chittagong,Panchlaish,Fast Food,Standard,4.0,2023-05-04
R0037,Silver Hut,Dhaka,Khilgaon,Chinese,Premium,4.1,2022-04-23
R0038,Sylheti Kitchen,Dhaka,Motijheel,Bangladeshi,Budget,3.2,2023-06-27
R0039,Silver Diner,Sylhet,Amberkhana,Biryani & Kebab,Standard,3.2,2024-04-23
R0040,Sultan's Kitchen,Chittagong,Agrabad,Chinese,Premium,3.7,2023-02-15
R0041,Bengal Garden,Dhaka,Motijheel,Bangladeshi,Standard,4.1,2022-11-24
R0042,Star House,Dhaka,Old Dhaka,Bangladeshi,Budget,4.0,2023-10-21
R0043,Golden Palace,Dhaka,Mohammadpur,Indian,Premium,4.9,2022-01-16
